id,source_type,category,source_text,reference_vi,prediction_vi
1,초등학교,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,,Hãy chuẩn bị đồ sơn và công cụ sơn cho các bạn khi tham dự cuộc thi.
2,초등학교,일정,5월 둘째 주에 학업성취도 평가가 있습니다,,"Và trong tuần thứ hai của tháng 5, chúng tôi cũng có một đánh giá về sự tiến bộ học tập."
3,초등학교,제출,정서행동 온라인 검사에 참여해 주세요,,Hãy tham gia vào cuộc kiểm tra tình cảm trực tuyến.
4,유치원,준비물,사진 찍는 날 원복을 입혀 주세요,,Hãy mặc áo sơ mi vào ngày chụp ảnh.
5,초등학교,기타,체험학습에 가지 않으면 학교 프로그램을 합니다,,"Nếu bạn không đi học thử nghiệm, bạn sẽ có chương trình học."
6,유치원,일정,4월 둘째 주에 학부모 상담이 있습니다,,Chúng tôi có buổi họp phụ huynh vào tuần thứ hai của tháng Tư.
7,초등학교,제출,생활기록부를 고치려면 증빙자료를 내 주세요,,"Nếu bạn muốn sửa lại hồ sơ của mình, hãy cho tôi bằng chứng."
8,초등학교,비용,돌봄교실 간식비 30000원을 매월 초에 냅니다,,Chúng tôi sẽ trả 30 nghìn đô la vào đầu tháng cho các phòng chăm sóc.
9,초등학교,비용,방과후학교 수강료 25000원이 다음 달 5일에 빠져나갑니다,Học phí lớp sau giờ học 25000 won sẽ được tự động trừ vào ngày 5 tháng sau,25 nghìn học sinh học theo học sẽ rời khỏi trường vào 5 tháng tới.
10,유치원,준비물,운동회 날 흰색 티셔츠와 편한 바지를 입혀 주세요,,Cho tôi một chiếc áo thun trắng và quần thoải mái cho buổi tập thể dục.
11,초등학교,제출,전학할 예정이면 담임선생님께 알려 주세요,,"Nếu bạn có kế hoạch đi học, hãy nói với giáo sư."
12,유치원,준비물,칫솔 컵 수건에 이름을 붙여 보내 주세요,,Hãy đặt tên vào chiếc khăn nước dùng.
13,초등학교,건강·안전,5월 23일 오전 10시에 대피훈련을 합니다,,"Ngày 23 tháng 5, lúc 10 giờ sáng, chúng tôi sẽ tập huấn về việc tị nạn."
14,유치원,제출,응급처치와 귀가 동의서를 꼭 내 주세요,,Hãy đưa cho tôi giấy phép điều trị khẩn cấp và giấy phép thính giác.
15,유치원,제출,약을 보낼 때 투약 의뢰서를 같이 써 주세요,,"Nếu bạn muốn gửi thuốc, hãy viết giấy chứng nhận thuốc cho tôi."
16,유치원,일정,10월 18일에 가을 숲놀이를 합니다,,"Vào ngày 18 tháng 10, chúng ta sẽ chơi game mùa thu trong rừng."
17,초등학교,건강·안전,집에서 머릿니가 있는지 확인해 주세요,,Hãy kiểm tra xem có một cái gì đó trong nhà không.
18,초등학교,비용,영어 캠프 참가비는 40000원입니다,,Camp bằng tiếng Anh sẽ có 40.000 người tham gia.
19,유치원,준비물,앞치마와 머릿수건을 준비해 주세요,,Hãy chuẩn bị đầu gối và đầu gối.
20,유치원,제출,버스를 타지 않으면 오전 8시 30분 전까지 알려 주세요,,"Nếu không lên xe buýt, hãy cho tôi biết trước 8:30 sáng."
