eval_id,text_ko,eval_focus,matched_terms,target_lang,nllb_translation,nllb_time_sec,small100_translation,small100_time_sec,winner,note
SCHOOL-KO-001,2026학년도 6학년 1학기 1일형 현장체험학습 참가 신청서 원하는 곳에 표하여 4월 20일(월)까지 담임선생님께 제출 바랍니다(기한 엄수).,domain_term;schedule;submission;money,현장체험학습;체험학습;신청서;기한;제출;학년,vi,,,Năm 2026 xin gửi đơn đăng ký tham gia vào kỳ thi trường học 1 năm 2016 (được nộp cho giáo viên) đến ngày 22 tháng 4 [Điều dài] .,0.896,,
SCHOOL-KO-002,"교육 관련문의: 강서양천교육지원청 과학교육센터 ( 02-2662-0492, 내선824) 2022 진로 연계 AI-메이커 교실 신청서 학년 반 이름 희망 기수 보호자 동행 등하교 가능 여부(교내 주차 불가) 보호자 연락처(휴대폰) 개인정보 활용동의 6학년 ( )반 1순위 기 O / X O / X 2순위 기 3순위 기",submission;money;attendance;guardian_privacy;schedule,보호자 연락처;보호자;신청서;연락처;문의;하교;학년,vi,,,"Các vấn đề liên quan đến giáo dục: Trung tâm Giáo dục Đại học ( 02-2662-0492, nội tuyến 824) 2022 Liên hệ thực tế AI-Maker lớp đơn xin năm Học nửa tên hi vọng người bảo vệ Ước gì có thể được hỗ trợ, hoặc không?Các thông tin về việc sử dụng dữ liệu cá nhân của trường đại học / 2 O/ X 1 số 3 Số 4 .",2.079,,
SCHOOL-KO-003,"참가 희망 시작성학생 연락처보호자 연락처개인정보제공동의수집항목: 신청서 기재 사항 수집목적: 2026학년도 기초학력 공유학교 참가 아동 관리보유기간: 신청일로부터 2026학년도 기초학력 공유학교 교육활동 종료일까지 동의함(신청서 제출 시, 동의함으로 간주함) 2026. 3.",schedule;submission;guardian_privacy;money,보호자 연락처;보호자;신청서;연락처;제출;학년;학생,vi,,,Đề nghị tham gia Học sinh Liên hệ Nhân viên Thông tin chung Số lượng: nộp đơn thông tin thu thập mục tiêu: 2026 Năm học cơ bản Chia sẻ Trường hợp Bảo trì trẻ em Thời gian bảo quản thời gian từ ngày ứng dụng năm học năm 2026 đến khi kết thúc hoạt động giáo dục của trường học cơ bản (được coi là đồng ý) 2026. 3.,1.769,,
SCHOOL-KO-004,"2020학년도 경기도용인교육지원청 관내 영재교육대상자 3월 선발에 관한 사항을 아래와 같이 안내하오니, 선발에 응시하고자 하는 학생들은 아래의 희망신청서를 6월 10일(수요일) 까지 각 학급 담임교사에게 제출하여 주시기 바랍니다.",domain_term;schedule;submission;money,담임교사;수요일;신청서;대상;제출;학급;학년;학생,vi,,,"Trong năm 2020, các học sinh muốn tham gia vào cuộc bầu cử của Hội đồng Giáo dục Nhân viên trong Năm 2020 xin gửi đơn đăng ký hy vọng cho mỗi giáo viên cấp độ đến ngày 10 tháng 6 (tháng thứ Tư).",1.148,,
SCHOOL-KO-005,"강좌: 이야기한국사 / 모집대상: 1-3학년 / 요일: 수 / 학기 중 시간: A 13:30~15:10 / 방학 중 시간: A 09:00~10:40 / 장소: 본관4층 교과2실 / 11차시 수강료 81,950원 / 교재비 12,000원 / 재료비 24,000원",schedule;money,교재;기한;대상;방학;시간;장소;학년,vi,,,"Chương trình: Học sinh học tập, dạy nghề và làm việc tại lớp 1 : 3 / 4 - 5 ; 10 = 9; 11 + 12 ( 2 ) , 13 .00 – 15 [ 0 ] • 14 _ 18 · 17 » 19 :: 21 > 20 >> 24 * 25 << 23 >> 30  ⁇  22 < 32 \ 31 › 28 >> 26 // 27 -> 29 ** 35 ~ 40 == 39>> 37 -- 38 --- 33 # 45 @ 50 × 60== 44:: 00 01 02 03:00 PM 05:00 PM 06:00 PM 07:00 PM 08:00 PM 09:30 PM 04:00 PM 09:00 PM 09:45 PM 09:30 AM 10: 00:00 PM 09:50 PM 09:40 PM 09:15 PM 09:10 PM 09:30 pm 09:30 PM 09:30",3.312,,
SCHOOL-KO-006,"2026년 월 일보호자 : (인)서울송파초등학교 귀하 학교장 확인사항(아래는 학교에서 기록함.) 종 목전( )학년 수업일수 결석일수(질병,무단) 출석인정결석 출석인정조퇴 출석인정결과 ( )일 ( )일 ( )일 ( )시간 ( )시간 전( )학기 최저학력기준 미도달 과목 국( ),영( ),수( ),사( ),과( ) 제출자료",schedule;submission;attendance;guardian_privacy;money,출석인정;보호자;결석;시간;제출;조퇴;학년,vi,,,"Năm 2026: Trường học sinh (Họ) được ghi nhận là trường đại học, giáo viên và người phụ nữ trong lớp.Từ năm tới nay có thể đi đến một số môn khoa ở các nước khác nhau; theo thời gian của họ thì phải làm việc với những điều kiện này để đạt kết quả tốt nhất cho công ty chuyên ngành kinh doanh hay không?Dân trí thông minh về cơ sở quản lý tài chính hoặc dịch vụ bảo hiểm xã hội tại nhà đầu tư quốc gia hiện đang tìm kiếm sự lựa chọn hàng ngày nào đó như vậy.[11]",2.868,,
SCHOOL-KO-007,e알리미로 4월 15일(수)까지 동의 관련 서명을 해 주시거나 학생이 등교시 담임선생님께 동의서를 제출해 주시면 됩니다.,domain_term;schedule;submission;attendance;money,e알리미;동의서;등교;서명;제출;학생,vi,,,Bạn có thể ký kết cho e-mail vào ngày 15 tháng 4 hoặc gửi sự đồng ý của bạn đến các học viên.,0.648,,
SCHOOL-KO-008,"본교에서는 전교생을 대상으로 무상 우유급식을 실시하고 있습니다.하지만 개인의 건강상의 문제(찬우유 배앓이, 알레르기, 소화장애, 아토피질환) 등으로 우유급식이 곤란할 경우 미급식 신청서를 받고자 합니다.우유미급식 신청서는 3월 5일(목)16:00까지 e-알리미로 제출하여 주시기 바랍니다.",domain_term;schedule;submission;health_safety;money,알레르기;신청서;급식;대상;제출,vi,,,"Trong trường đại học, chúng tôi thực hiện một bữa ăn sữa miễn phí cho sinh viên trước đây. nhưng nếu bạn gặp vấn đề sức khỏe cá nhân (cơn khát ngực của con búi), dị ứng với đường tiêu hóa và bệnh tật không thể bỏ qua các đơn xin cấp sơ đồ để gửi email đến ngày 5 tháng 3 lúc 16:00: 00:00; [email protected] .",1.860,,
SCHOOL-KO-009,"강좌: 행복수학 / 모집대상: 1-6학년 / 요일: 월 / 학기 중 시간: B 14:20~16:00 / 방학 중 시간: B 10:50~12:30 / 장소: 본관4층 교과1실 / 11차시 수강료 81,950원 / 교재비 39,000원 / 학년 과정에 알맞은 1:1 수준별 맞춤 지도",schedule;money,교재;대상;방학;시간;장소;학년,vi,,,Chương trình: Học sinh / Thuê tuyển dụng mục tiêu : 1-6 lớp học / ngày tháng/Tháng trong kỳ nghỉ B 14:20~16:00 / Thời gian thời gian cho phép bạn ở đây 10:50~12:30 / Địa điểm của nhà trường 4 tầng lớp1 phòng 11 cấp phí nhập cảnh 81.950 USD / Phí giảng dạy 39.000 USD / Bản đồ tùy chỉnh mức 1:1 phù hợp với khóa học năm học,2.017,,
SCHOOL-KO-010,"강좌: 창의과학실험 / 모집대상: 1-2학년(정원15명) / 요일: 목 / 학기 중 시간: A 13:30~15:10 / 방학 중 시간: A 09:00~10:40 / 장소: 본관2층 해누리터 / 12차시 수강료 89,400원 / 교재비 48,000원",schedule;money,교재;대상;방학;시간;장소;학년,vi,,,"Chương trình: Học sinh học tập, tuyển dụng mục tiêu của việc làm : 1-2 lớp (15 người) / Ngày - cổ phần/ Thời gian trong học kỳ A 13:30 ~ 15:10 / Thời gian nghỉ phép A 09:00 ~ 10:40 / Địa điểm chính phủ 2 tầng hàn lường và 12 giờ nhận được 89.400 USD / Phí giảng dạy 48.000 USD",1.773,,
