korean,preferred_vi,note
가정통신문,thông báo gửi phụ huynh,검수 완료
알림장,sổ liên lạc,검수 완료
공지사항,thông báo,검수 완료
확인서,giấy xác nhận,검수 완료
안내문,thông báo hướng dẫn,검수 완료
회신,phản hồi,검수 완료
참가 여부,có tham gia hay không,검수 완료
불참,không tham gia,검수 완료
기한,thời hạn,검수 완료
마감일,hạn chót,검수 완료
돗자리,thảm ngồi,검수 완료
색종이,giấy màu,검수 완료
풀,keo dán,검수 완료
가위,kéo,검수 완료
크레파스,bút sáp màu,검수 완료
네임펜,bút lông dầu,검수 완료
교육비,phí giáo dục,검수 완료
체험학습비,phí hoạt động trải nghiệm,검수 완료
출석인정,được công nhận có mặt,검수 완료
출결,chuyên cần,검수 완료
교무실,phòng giáo vụ,검수 완료
공개수업,tiết học mở,검수 완료
학부모 총회,họp toàn thể phụ huynh,검수 완료
수련회,trại sinh hoạt tập thể,검수 완료
종업식,lễ kết thúc năm học,검수 완료
신체검사,khám sức khỏe thể chất,검수 완료
생활지도,hướng dẫn nề nếp sinh hoạt,검수 완료
귀가 동의,đồng ý cho ra về,검수 완료
방과후 신청,đăng ký lớp sau giờ học,검수 완료
돌봄 신청,đăng ký lớp chăm sóc sau giờ học,검수 완료
학교종이,School Bell,서비스명 확인완료
준비 학습,bài học chuẩn bị,검수 완료
