korean,preferred_vi,preferred_en,preferred_zh,preferred_th,preferred_ms,preferred_mn,preferred_ru,preferred_ja,note
앞치마,tạp dề,Apron,围裙,ผ้ากันเปื้อน,apron,хормогч,фартук,エプロン,유치원 요리/김장 활동 준비물
머릿수건,khăn trùm đầu,Bandana,头巾,ผ้าโพกหัว,kain penutup kepala,толгойны алчуур,косынка,三角巾,유치원 요리/김장 활동 준비물
체험학습,buổi trải nghiệm,Field trip,校外体험활동,กิจกรรมเรียนรู้นอกห้องเรียน,aktiviti pembelajaran luar kelas,танин мэдэхүйн аялал,учебная экскурсия,体験学習,학교 체험 활동
현장체험학습,buổi trải nghiệm thực tế,Field trip,户外体验活动,ทัศนศึกษานอกสถานที่,lawatan sambil belajar di luar sekolah,сургалтын аялал,выездная экскурсия,校外学習,학교 밖 체험학습
원복,đồng phục trường,Kindergarten/Preschool uniform,园服,ชุดนักเรียน/ชุดอนุบาล,uniform tadika,цэцэрлэгийн дүрэмт хувцас,форма садика,園服,유치원 지정 복장
도화지,giấy vẽ,Drawing paper,画纸,กระดาษวาดเขียน,kertas lukisan,зургийн цаас,бумага для рисования,画用紙,미술 준비물
색칠 도구,đồ dùng tô màu,Coloring tools,涂色工具,อุปกรณ์ระบายสี,alat mewarna,будах хэрэгсэл,всё для раскрашивания,お絵描きセット,미술 준비물
정서행동 검사,kiểm tra tâm lý và hành vi,Emotional & behavioral screening,心理情绪检查,แบบประเมินพฤติกรรมและอารมณ์,ujian emosi dan tingkah laku,сэтгэл зүйн сорил,тест на эмоциональное состояние,情緒・行動チェック,학생 검사
돌봄교실,lớp chăm sóc trẻ,After-school care,托管班,ห้องเรียนดูแลเด็กหลังเลิกเรียน,kelas jagaan (daycare),өдөр өнжүүлэх анги,продленка,学童保育,초등 돌봄
방과후학교,lớp học sau giờ học,After-school programs,课后班,กิจกรรมหลังเลิกเรียน,program selepas sekolah,хичээлээс гадуурх дугуйлан,занятия после школы,放課後教室,방과후 프로그램
하원,tan trường (về nhà),Pick-up,放学,กลับบ้านจากโรงเรียน/ศูนย์เด็กเล็ก,pulang dari tadika/sekolah,цэцэрлэгээс гэртээ харих,уход домой (из садика),降園,유치원 귀가
등원,đi học (đến trường),Drop-off,上学,ไปโรงเรียน/ไปศูนย์เด็กเล็ก,hadir ke tadika/sekolah,цэцэрлэгт ирэх,приход в садик,登園,유치원 등교
가정통신문,thông báo gửi gia đình,Newsletter,家长通知书,จดหมายแจ้งจากโรงเรียน,surat makluman,мэдэгдэх хуудас,информационное письмо для родителей,お便り,기타
알림장,sổ liên lạc,Notice book,联络簿,สมุดจดแจ้งสำหรับผู้ปกครอง,buku makluman,мэдэгдэл,дневник или тетрадь для заметок,連絡帳,기타
공지사항,thông báo,Announcements,公告事项,ประกาศแจ้งให้ทราบ,pengumuman,зарлал,важные объявления,お知らせ,기타
동의서,giấy đồng ý,Consent form,同意书,ใบยินยอม,borang izin,зөвшөөрлийн хуудас,согласие,同意書,제출 서류
신청서,đơn đăng ký,Sign-up form,申请表,ใบสมัคร,borang permohonan,хүсэлт,заявление,申し込み書,제출 서류
조사서,phiếu khảo sát,Survey,调查表,แบบสอบถามข้อมูล,borang kaji selidik,судалгаа,анкета или опросник,調査票,제출 서류
확인서,giấy xác nhận,Confirmation form,确认书,ใบยืนยัน,borang pengesahan,тодорхойлолт,справка,確認書,제출 서류
안내문,tờ hướng dẫn,Information notice,通知说明,เอกสารแจ้งรายละเอียด,surat panduan,зааварчилгаа,памятка (информация),ご案内,기타
회신,phản hồi lại,Reply,回执,การตอบกลับ,jawapan/balasan,хариу илгээх,ответ,お返事,제출
제출,nộp,Submit,交回,การส่งเอกสาร,hantar,хураалгах,сдача,提出,행동 동사
서명,ký tên,Signature,签名,เซ็นชื่อ,tandatangan,гарын үсэг,подпись,署名,행동 동사
참가 여부,việc có tham gia hay không,RSVP,是否参加,การยืนยันเข้าร่วมหรือไม่เข้าร่วม,penyertaan,оролцох эсэх,участие,出欠,제출
불참,không tham gia,Not attending,不参加,ไม่เข้าร่วม,tidak hadir,оролцохгүй,неучастие,欠席,제출
기한,thời hạn,Due date,截止时间,กำหนดส่ง,tempoh masa,хугацаа,срок,期限,일정
