id,source_type,original_text,category,keywords,importance,action_required,easy_korean,vietnamese,tts_target
1,초등학교,여름방학 과제 안내장은 방학식 당일 배부됩니다,기타,여름방학|과제,0.45,N,여름방학 과제 안내장은 방학식 날 나갑니다,,N
2,초등학교,과학 상상화 그리기 대회 참가자는 도화지와 채색 도구를 준비해 주세요,준비물,상상화|도화지|채색도구,0.85,Y,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,,Y
3,초등학교,체험학습 당일 오전 8시 40분까지 교실로 등교해 주세요,일정,체험학습|등교시간,0.95,Y,체험학습 날 오전 8시 40분까지 학교에 오세요,,Y
4,초등학교,응급처치 동의서를 아직 제출하지 않은 가정은 이번 주 안에 제출해 주세요,제출,응급처치|동의서,1.0,Y,이번 주 안에 응급처치 동의서를 내 주세요,,Y
5,초등학교,학교생활기록부 정정을 원하는 경우 증빙자료를 함께 제출해 주세요,제출,생활기록부|증빙자료,0.9,Y,생활기록부를 고치려면 증빙자료를 내 주세요,,Y
6,초등학교,과학 실험을 위해 빈 페트병 1개를 깨끗이 씻어 보내 주세요,준비물,과학실험|페트병,0.8,Y,빈 페트병 1개를 씻어서 보내 주세요,,Y
7,초등학교,스쿨뱅킹 계좌 변경 신청서는 행정실에 제출해 주세요,제출,스쿨뱅킹|계좌변경,0.9,Y,스쿨뱅킹 계좌를 바꾸려면 신청서를 내 주세요,,Y
8,유치원,물놀이 준비물은 수영복 여벌옷 수건 비닐봉투입니다,준비물,수영복|여벌옷|수건,0.95,Y,수영복 여벌옷 수건 비닐봉투를 준비해 주세요,Vui lòng chuẩn bị đồ bơi quần áo thay khăn và túi nilon,Y
9,초등학교,다음 주 월요일 현장체험학습 참가 신청서를 담임선생님께 제출해 주세요,제출,현장체험학습|신청서,1.0,Y,다음 주 월요일까지 현장체험학습 신청서를 내 주세요,Vui lòng nộp đơn đăng ký tham quan học tập trước thứ Hai tuần sau,Y
10,초등학교,교내 와이파이 사용을 위한 정보보호 서약서를 제출해 주세요,제출,와이파이|정보보호,0.85,Y,와이파이 사용 서약서를 내 주세요,,Y
11,초등학교,개인정보 변경 사항은 학교 앱에서 수정해 주세요,제출,개인정보|변경,0.85,Y,개인정보가 바뀌면 앱에서 고쳐 주세요,,Y
12,초등학교,4월 30일까지 개인정보 수집 이용 동의서를 제출해 주세요,제출,개인정보|동의서,1.0,Y,4월 30일까지 개인정보 동의서를 내 주세요,Vui lòng nộp giấy đồng ý thông tin cá nhân trước ngày 30 tháng 4,Y
13,초등학교,가을 운동회는 10월 4일 금요일 운동장에서 진행됩니다,일정,가을운동회|운동장,0.85,Y,10월 4일에 가을 운동회가 있습니다,,Y
14,초등학교,태블릿 파손 예방을 위해 보호 케이스를 사용해 주세요,건강·안전,태블릿|보호케이스,0.65,Y,태블릿 보호 케이스를 사용해 주세요,,Y
