id,source_type,category,ko,vi
135,초등학교,제출,다음 주 월요일까지 현장체험학습 신청서를 내 주세요,Vui lòng nộp đơn xin học tập trải nghiệm trước thứ Hai tuần sau.
26,유치원,비용,간식비 15000원이 매월 10일에 빠져나갑니다,15.000 won tiền ăn nhẹ sẽ được rút vào ngày 10 hàng tháng.
83,초등학교,제출,6월 20일까지 영어 캠프 신청서를 내 주세요,Vui lòng nộp đơn đăng ký trại hè tiếng Anh trước ngày 20 tháng 6.
112,초등학교,제출,4월 26일까지 알레르기 조사서를 앱으로 내 주세요,Vui lòng nộp bản khảo sát dị ứng qua ứng dụng trước ngày 26 tháng 4.
125,유치원,제출,월요일까지 현장학습 동의서를 내 주세요,Vui lòng nộp giấy đồng ý đi thực tế trước thứ Hai.
142,유치원,제출,3월 15일까지 특성화 활동 신청서를 내 주세요,Vui lòng nộp đơn đăng ký hoạt động đặc biệt trước ngày 15 tháng 3.
178,유치원,제출,간식 신청 변경은 매월 말일까지 할 수 있습니다,Việc thay đổi đăng ký ăn nhẹ có thể được thực hiện trước ngày cuối cùng của mỗi tháng.
182,초등학교,제출,4월 5일까지 우유 급식을 신청할 수 있습니다,Bạn có thể đăng ký cấp phát sữa trước ngày 5 tháng 4.
43,초등학교,제출,이번 주 안에 응급처치 동의서를 내 주세요,Vui lòng nộp giấy đồng ý sơ cứu trong tuần này.
44,초등학교,제출,내일까지 학생 기초조사서를 내 주세요,Vui lòng nộp bản khảo sát cơ bản của học sinh trước ngày mai.
88,초등학교,제출,다음 주 화요일까지 졸업앨범 신청서를 내 주세요,Vui lòng nộp đơn đăng ký kỷ yếu tốt nghiệp trước thứ Ba tuần sau.
92,초등학교,일정,이번 주 목요일까지 학부모 상담을 신청할 수 있습니다,Bạn có thể đăng ký tư vấn phụ huynh trước thứ Năm tuần này.
95,초등학교,제출,5월 3일 오후 5시까지 방과후학교를 신청해 주세요,Vui lòng đăng ký lớp học ngoại khóa trước 5 giờ chiều ngày 3 tháng 5.
97,초등학교,일정,방학 돌봄교실은 오전 9시부터 오후 5시까지 합니다,Lớp trông giữ trẻ trong kỳ nghỉ hoạt động từ 9 giờ sáng đến 5 giờ chiều.
120,초등학교,비용,우유 급식비는 한 달 18000원입니다,Tiền sữa học đường là 18.000 won một tháng.
128,유치원,제출,금요일까지 유아 기초조사서를 내 주세요,Vui lòng nộp bản khảo sát cơ bản của trẻ em trước thứ Sáu.
129,초등학교,준비물,현장체험학습 날 도시락 물 물티슈를 준비해 주세요,"Vui lòng chuẩn bị hộp cơm trưa, nước và khăn giấy ướt vào ngày đi học tập trải nghiệm."
163,초등학교,제출,3월 18일까지 학부모 총회 참석 여부를 알려 주세요,Vui lòng thông báo cho chúng tôi bạn có tham dự đại hội phụ huynh hay không trước ngày 18 tháng 3.
165,초등학교,제출,4월 30일까지 개인정보 동의서를 내 주세요,Vui lòng nộp giấy đồng ý cung cấp thông tin cá nhân trước ngày 30 tháng 4.
167,초등학교,준비물,개학일에 방학 과제와 실내화를 가져오세요,Vui lòng mang theo bài tập kỳ nghỉ và dép đi trong nhà vào ngày khai giảng.
169,초등학교,준비물,금요일까지 색종이와 풀을 보내 주세요,Vui lòng gửi giấy màu và hồ dán trước thứ Sáu.
176,유치원,제출,수요일까지 동물 체험 동의서를 내 주세요,Vui lòng nộp giấy đồng ý trải nghiệm động vật trước thứ Tư.
195,초등학교,제출,독감 예방접종 여부를 건강조사서에 써 주세요,Vui lòng ghi rõ tình trạng tiêm phòng cúm vào bản khảo sát sức khỏe.
31,초등학교,준비물,운동회 날 점심 도시락을 준비해 주세요,Vui lòng chuẩn bị hộp cơm trưa vào ngày hội thao.
33,초등학교,제출,스쿨뱅킹 계좌를 바꾸려면 신청서를 내 주세요,"Nếu muốn thay đổi tài khoản ngân hàng trường học, vui lòng nộp đơn đăng ký."
45,유치원,제출,겨울방학 방과후 과정 신청 여부를 알려 주세요,Vui lòng cho biết bạn có đăng ký khóa học ngoại khóa kỳ nghỉ đông hay không.
48,초등학교,제출,급식 모니터링을 원하면 신청서를 내 주세요,"Nếu bạn muốn tham gia giám sát bữa ăn, vui lòng nộp đơn đăng ký."
53,초등학교,제출,이번 주 수요일까지 스포츠클럽을 신청해 주세요,Vui lòng đăng ký câu lạc bộ thể thao trước thứ Tư tuần này.
55,유치원,일정,9월 27일 유치원 강당에서 운동회를 합니다,Hội thao sẽ được tổ chức tại hội trường trường mẫu giáo vào ngày 27 tháng 9.
56,초등학교,일정,체험학습 날 오전 8시 40분까지 학교에 오세요,Vui lòng đến trường trước 8:40 sáng vào ngày đi học tập trải nghiệm.
59,초등학교,제출,급식 대체식을 원하면 신청서를 보건실에 내 주세요,"Nếu muốn có suất ăn thay thế, vui lòng nộp đơn đăng ký cho phòng y tế."
75,유치원,제출,하원 시간이 바뀌면 오후 1시 전까지 키즈노트로 알려 주세요,"Nếu thời gian về thay đổi, vui lòng thông báo qua Kids Note trước 1 giờ chiều."
82,초등학교,일정,3월 22일 오후 2시에 학부모 총회가 있습니다,Có một cuộc họp phụ huynh vào lúc 2 giờ chiều ngày 22 tháng 3.
94,유치원,건강·안전,등원할 때 아이 손을 잡고 현관까지 와 주세요,"Khi đến trường, vui lòng nắm tay trẻ và đưa đến tận cửa ra vào."
114,초등학교,비용,졸업앨범을 신청한 사람만 62000원을 냅니다,Chỉ những người đăng ký kỷ yếu tốt nghiệp mới phải đóng 62.000 won.
118,초등학교,비용,생존수영 교육비 18000원이 스쿨뱅킹으로 빠져나갑니다,18.000 won phí giáo dục bơi sinh tồn sẽ được rút qua tài khoản ngân hàng trường học.
132,초등학교,일정,2월 7일 오전 10시에 졸업식이 있습니다,Lễ tốt nghiệp sẽ diễn ra vào lúc 10 giờ sáng ngày 7 tháng 2.
138,초등학교,일정,4월 12일 운동장에서 축구부 공개수업이 있습니다,Có một lớp học công khai của câu lạc bộ bóng đá trên sân vận động vào ngày 12 tháng 4.
141,유치원,제출,급식 모니터링 신청서를 내 주세요,Vui lòng nộp đơn đăng ký giám sát bữa ăn.
146,유치원,제출,알레르기가 있으면 조사서를 내 주세요,"Nếu có dị ứng, vui lòng nộp bản khảo sát."
156,초등학교,일정,10월 4일에 가을 운동회가 있습니다,Hội thao mùa thu sẽ diễn ra vào ngày 4 tháng 10.
157,유치원,비용,간식비 환불은 오래 결석할 때만 됩니다,Tiền ăn nhẹ chỉ được hoàn trả khi vắng mặt dài ngày.
160,유치원,일정,3월 4일 오전 10시에 입학식이 있습니다,Lễ khai giảng sẽ diễn ra vào lúc 10 giờ sáng ngày 4 tháng 3.
171,유치원,제출,금요일까지 숲 체험 동의서를 보내 주세요,Vui lòng gửi giấy đồng ý trải nghiệm rừng trước thứ Sáu.
187,초등학교,제출,아침 돌봄교실은 먼저 신청한 순서로 받습니다,Lớp trông giữ trẻ buổi sáng sẽ nhận theo thứ tự đăng ký trước.
189,초등학교,제출,5월 1일까지 글쓰기 대회 원고를 내 주세요,Vui lòng nộp bản thảo cuộc thi viết trước ngày 1 tháng 5.
191,유치원,준비물,입학식 날 실내화와 물병을 준비해 주세요,Vui lòng chuẩn bị dép đi trong nhà và bình nước vào ngày khai giảng.
193,초등학교,일정,5월 17일 방과후 수업은 쉽니다,Lớp học ngoại khóa ngày 17 tháng 5 sẽ được nghỉ.
196,유치원,비용,방과후 영어 활동비는 한 달 20000원입니다,Phí hoạt động tiếng Anh ngoại khóa là 20.000 won một tháng.
22,유치원,비용,인형극 관람비 5000원을 내 주세요,Vui lòng đóng 5.000 won phí xem múa rối.
23,유치원,제출,독감 예방접종 여부를 카드에 써 주세요,Vui lòng ghi rõ tình trạng tiêm phòng cúm vào thẻ.
27,유치원,일정,12월 20일에 크리스마스 발표회가 있습니다,Có một buổi biểu diễn Giáng sinh vào ngày 20 tháng 12.
29,유치원,일정,방과후 미술은 화요일 오후에 합니다,Lớp mỹ thuật ngoại khóa diễn ra vào chiều thứ Ba.
30,유치원,제출,졸업사진을 찍으려면 동의서를 내야 합니다,"Để chụp ảnh tốt nghiệp, bạn phải nộp giấy đồng ý."
35,초등학교,건강·안전,5월 16일 오전에 건강검진을 합니다,Khám sức khỏe sẽ diễn ra vào sáng ngày 16 tháng 5.
39,유치원,준비물,아이가 먹기 쉬운 도시락을 준비해 주세요,Vui lòng chuẩn bị hộp cơm trưa dễ ăn cho trẻ.
41,초등학교,일정,10월 2일은 학교에 오지 않습니다,Không đến trường vào ngày 2 tháng 10.
42,초등학교,준비물,다음 주까지 리코더를 준비해 주세요,Vui lòng chuẩn bị sáo recorder trước tuần sau.
46,초등학교,제출,전입생은 등본과 예방접종 확인서를 내 주세요,Học sinh chuyển trường vui lòng nộp bản sao hộ khẩu và giấy xác nhận tiêm chủng.
