sample_id,korean,sentence_type,items_found,expected_vi,baseline_out,baseline_score,baseline_time,strategy_a_input,strategy_a_out,strategy_a_score,strategy_a_time,template_out,template_score,template_time,template_method,review_required
1,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,prepare,도화지 | 색칠 도구,giấy vẽ | đồ dùng tô màu,"Nếu bạn đi dự, hãy chuẩn bị đồ sơn và công cụ vẽ.",0/2,1.52,대회에 나가면 giấy vẽ와 đồ dùng tô màu를 준비해 주세요,"Nếu bạn đi dự, hãy chuẩn bị giấy vẽ và đồ dùng tô màu.",2/2,1.03,Vui lòng chuẩn bị giấy vẽ và đồ dùng tô màu.,2/2,0.00,template,N
2,유성매직과 사인펜을 준비해 주세요,prepare,유성매직 | 사인펜,bút dạ dầu | bút lông,Hãy chuẩn bị cho tôi một cái bút và ký hiệu.,0/2,0.85,bút dạ dầu과 bút lông을 준비해 주세요,Hãy chuẩn bị bút dạ dầu và bút lông.,2/2,0.95,Vui lòng chuẩn bị bút dạ dầu và bút lông.,2/2,0.00,template,N
3,풍선과 찰흙을 가져오세요,bring,풍선 | 찰흙,bóng bay | đất sét,Mang bóng và lùn đi.,0/2,0.56,bóng bay과 đất sét을 가져오세요,Hãy mang bóng bay và sét.,1/2,0.52,Vui lòng mang theo bóng bay và đất sét.,2/2,0.00,template,N
4,실내화와 물통을 챙겨 주세요,bring,실내화 | 물통,giày trong nhà | bình nước,Hãy lấy đồ nội thất và bình nước.,1/2,0.65,giày trong nhà와 bình nước을 챙겨 주세요,Giày trong nhà và nước bình.,0/2,0.56,Vui lòng mang theo giày trong nhà và bình nước.,2/2,0.00,template,N
5,수채화 물감과 붓을 준비해 주세요,prepare,수채화 물감 | 붓,màu nước | cọ vẽ,Hãy chuẩn bị một cái bơm và nước lọc.,0/2,0.76,màu nước과 cọ vẽ을 준비해 주세요,Hãy chuẩn bị cho chúng tôi nước và màu sắc.,0/2,0.74,Vui lòng chuẩn bị màu nước và cọ vẽ.,2/2,0.00,template,N
6,전교생은 체육복과 실내화를 지참해 주세요,bring,체육복 | 실내화,quần áo thể dục | giày trong nhà,"Các bạn, hãy tham gia vào buổi tập thể dục và nội thất.",0/2,0.95,전교생은 quần áo thể dục과 giày trong nhà를 지참해 주세요,"Các bạn, hãy tham gia phòng tập thể dục và giày trong.",0/2,1.02,Dành cho toàn thể học sinh: Vui lòng mang theo quần áo thể dục và giày trong nhà.,2/2,0.00,template,N
7,받아쓰기 공책과 클리어 화일을 제출해 주세요,submit,받아쓰기 공책 | 클리어 화일,vở chính tả | túi đựng tài liệu,Xin gửi giấy tờ nhận và thư xóa.,0/2,0.67,vở chính tả과 túi đựng tài liệu을 제출해 주세요,Xin hãy gửi vở chính tả và tài liệu trong túi.,1/2,0.83,Vui lòng nộp vở chính tả và túi đựng tài liệu.,2/2,0.00,template,N
8,"물감과 붓, 도화지를 담임선생님께 제출해 주세요",submit,물감 | 붓 | 도화지,màu vẽ | cọ vẽ | giấy vẽ,"Hãy đưa cho ngài làm việc với bơm, bút và vải.",0/3,1.07,"màu vẽ과 cọ vẽ, giấy vẽ를 담임선생님께 제출해 주세요","Hãy gửi màu vẽ và cọ vẽ, giấy vẽ cho giáo sư.",3/3,0.95,"Vui lòng nộp màu vẽ, cọ vẽ và giấy vẽ cho giáo viên chủ nhiệm.",3/3,0.00,template,N
9,금요일까지 참가 동의서를 담임선생님께 제출해 주세요,submit,참가 동의서,giấy đồng ý tham gia,Hãy gửi giấy đồng ý cho ngài giám đốc vào thứ Sáu.,0/1,0.94,금요일까지 giấy đồng ý tham gia를 담임선생님께 제출해 주세요,Hãy gửi giấy đồng ý tham gia cho ngài giáo sư vào thứ Sáu.,1/1,0.99,Vui lòng nộp giấy đồng ý tham gia cho giáo viên chủ nhiệm.,1/1,0.00,template,N
10,스쿨뱅킹 계좌로 체험학습비를 납부해 주세요,pay,스쿨뱅킹 계좌 | 체험학습비,tài khoản School Banking | phí học tập trải nghiệm,Hãy gửi tiền học phí vào tài khoản ngân hàng của trường.,0/2,0.85,tài khoản School Banking로 phí học tập trải nghiệm를 납부해 주세요,Hãy trả tiền cho học tập kinh nghiệm bằng tài khoản School Banking.,1/2,0.97,Vui lòng thanh toán tài khoản School Banking và phí học tập trải nghiệm.,2/2,0.00,template,N
