id,source_type,category,easy_korean,human_vi,review_status
54,초등학교,일정,종업식 날에는 급식 없이 4교시 후 집에 갑니다,"Vào ngày bế giảng, học sinh sẽ về nhà sau tiết 4 mà không có bữa ăn ở trường.",reviewed
58,초등학교,제출,보험 가입에 필요한 정보를 제출해 주세요,"Vui lòng nộp các thông tin cần thiết để đăng ký bảo hiểm.",reviewed
64,유치원,비용,현장학습 참가비 14000원을 내 주세요,"Vui lòng đóng 14.000 won phí tham gia học tập trải nghiệm.",reviewed
67,초등학교,건강·안전,6월 12일에 구강검진을 합니다,"Khám răng miệng sẽ diễn ra vào ngày 12 tháng 6.",reviewed
68,초등학교,일정,4월 15일 음악실에서 합창부 오디션이 있습니다,"Có buổi thử giọng của câu lạc bộ hợp xướng tại phòng âm nhạc vào ngày 15 tháng 4.",reviewed
80,유치원,일정,4월 19일에 어린이대공원으로 갑니다,"Chúng ta sẽ đi Công viên Đại công viên Trẻ em vào ngày 19 tháng 4.",reviewed
84,유치원,제출,금요일까지 사진 사용 동의 여부를 내 주세요,"Vui lòng nộp giấy đồng ý sử dụng hình ảnh trước thứ Sáu.",reviewed
85,유치원,일정,11월 7일 오전에 인형극을 봅니다,"Sẽ xem múa rối vào sáng ngày 7 tháng 11.",reviewed
86,초등학교,일정,6월 18일에 온라인 학부모 연수가 있습니다,"Có buổi tập huấn phụ huynh trực tuyến vào ngày 18 tháng 6.",reviewed
91,초등학교,제출,공개수업 참관은 학교 앱에서 신청합니다,"Việc tham quan lớp học công khai được đăng ký trên ứng dụng của trường.",reviewed
96,초등학교,일정,5월 30일 도서관에서 독서 골든벨이 있습니다,"Sẽ có cuộc thi rung chuông vàng đọc sách tại thư viện vào ngày 30 tháng 5.",reviewed
99,유치원,준비물,계절에 맞는 여벌옷과 속옷을 준비해 주세요,"Vui lòng chuẩn bị quần áo dự phòng và đồ lót phù hợp với thời tiết.",reviewed
101,초등학교,제출,전교임원 후보는 신청서를 내야 합니다,"Các ứng cử viên ban cán sự trường phải nộp đơn đăng ký.",reviewed
110,초등학교,준비물,세면도구 여벌옷 필기도구를 준비해 주세요,"Vui lòng chuẩn bị đồ dùng vệ sinh cá nhân, quần áo dự phòng và dụng cụ học tập.",reviewed
113,초등학교,일정,5월 10일 금요일에 봄 소풍을 갑니다,"Chúng ta sẽ đi dã ngoại mùa xuân vào thứ Sáu, ngày 10 tháng 5.",reviewed
115,초등학교,제출,금요일까지 사이버폭력 예방 서약서를 내 주세요,"Vui lòng nộp bản cam kết phòng chống bạo lực mạng trước thứ Sáu.",reviewed
116,초등학교,일정,4월 21일에 과학의 날 행사를 합니다,"Sự kiện Ngày Khoa học sẽ được tổ chức vào ngày 21 tháng 4.",reviewed
117,초등학교,비용,단체 사진 구입비는 5000원입니다,"Phí mua ảnh tập thể là 5.000 won.",reviewed
119,유치원,일정,2월 14일 오전 10시에 수료식이 있습니다,"Lễ bế giảng sẽ diễn ra vào lúc 10 giờ sáng ngày 14 tháng 2.",reviewed
123,유치원,일정,5월 11일 오전에 가족 참여 수업이 있습니다,"Có một lớp học có sự tham gia của gia đình vào sáng ngày 11 tháng 5.",reviewed
124,초등학교,일정,5월 8일에 학급 사진을 찍습니다,"Sẽ chụp ảnh lớp vào ngày 8 tháng 5.",reviewed
127,유치원,제출,차량 노선 변경은 전날 오후 4시까지 신청해 주세요,"Vui lòng đăng ký thay đổi tuyến đường xe trước 4 giờ chiều ngày hôm trước.",reviewed
137,유치원,일정,5월 24일 오전 10시에 공개수업이 있습니다,"Lớp học công khai sẽ diễn ra vào lúc 10 giờ sáng ngày 24 tháng 5.",reviewed
144,초등학교,준비물,실내화를 빨아서 월요일에 가져오세요,"Vui lòng giặt dép đi trong nhà và mang đến vào thứ Hai.",reviewed
147,유치원,제출,적응기간 하원 시간을 확인해 주세요,"Vui lòng kiểm tra thời gian về trong thời gian thích nghi.",reviewed
155,유치원,건강·안전,6월 4일 오전에 소방대피훈련을 합니다,"Sẽ có cuộc diễn tập sơ tán hỏa hoạn vào sáng ngày 4 tháng 6.",reviewed
158,유치원,비용,발표회 의상비 25000원을 내 주세요,"Vui lòng đóng 25.000 won tiền trang phục biểu diễn.",reviewed
162,초등학교,비용,급식비 지원이 필요하면 행정실에 물어보세요,"Nếu cần hỗ trợ tiền ăn, vui lòng hỏi phòng hành chính.",reviewed
164,유치원,비용,요리 활동 재료비 8000원을 내 주세요,"Vui lòng đóng 8.000 won tiền nguyên liệu hoạt động nấu ăn.",reviewed
168,초등학교,제출,합창부를 하려면 보호자 동의서를 내 주세요,"Để tham gia câu lạc bộ hợp xướng, vui lòng nộp giấy đồng ý của người giám hộ.",reviewed
