lang,label,korean_term,sentence,nllb_translation,glossary_preferred,reflected,status
vi,베트남어,알림장,알림장을 매일 담임교사에게 제출해 주세요.,Hãy gửi báo cáo cho giáo viên giảng dạy mỗi ngày.,sổ liên lạc,N,❌ 누락
vi,베트남어,담임교사,담임교사에게 결석 사유를 알려 주세요.,Hãy nói chuyện với giáo viên giảng dạy.,giáo viên chủ nhiệm,N,❌ 누락
vi,베트남어,방과후 신청서,방과후 신청서를 이번 주 금요일까지 내 주세요.,Hãy nộp đơn sau giờ học vào thứ Sáu tuần này.,,N,—  미등록
vi,베트남어,수업비,"수업비 40,000원을 다음 주까지 납부해 주세요.",Hãy trả 40.000 đô vào tuần tới.,tiền học,N,❌ 누락
vi,베트남어,체험학습,체험학습 신청서를 3일 전에 제출해 주세요.,Hãy nộp đơn học tập trước 3 ngày.,buổi trải nghiệm,N,❌ 누락
vi,베트남어,결석계,결석계를 5일 이내에 담임교사에게 제출합니다.,Chúng tôi sẽ gửi bản kết án cho giáo viên giảng dạy trong vòng 5 ngày.,,N,—  미등록
vi,베트남어,준비물,"내일 준비물은 색종이, 풀, 가위입니다.","Ngày mai, chúng ta sẽ chuẩn bị cho màu sắc, cỏ và cỏ.",đồ dùng cần chuẩn bị,N,❌ 누락
vi,베트남어,공개수업,공개수업은 4월 23일 3교시에 실시됩니다.,Cuộc đấu thầu công khai sẽ diễn ra vào ngày 23 tháng 4 lúc 3 giờ sáng.,tiết học dự giờ,N,❌ 누락
en,영어,알림장,알림장을 매일 담임교사에게 제출해 주세요.,Please submit an alert to the principal every day.,Notice book,N,❌ 누락
en,영어,담임교사,담임교사에게 결석 사유를 알려 주세요.,I'd like you to tell the headmaster the reasoning.,Homeroom teacher,N,❌ 누락
en,영어,방과후 신청서,방과후 신청서를 이번 주 금요일까지 내 주세요.,I'd like you to submit an after-school application by Friday this week.,,N,—  미등록
en,영어,수업비,"수업비 40,000원을 다음 주까지 납부해 주세요.","I'd like you to pay 40,000 for the class next week.",Class fee,N,❌ 누락
en,영어,체험학습,체험학습 신청서를 3일 전에 제출해 주세요.,Please submit your application for an apprenticeship three days in advance.,Field trip,N,❌ 누락
en,영어,결석계,결석계를 5일 이내에 담임교사에게 제출합니다.,I'm going to submit the final report to the principal within five days.,,N,—  미등록
en,영어,준비물,"내일 준비물은 색종이, 풀, 가위입니다.","Tomorrow's preparation is colour, grass, thickness.",Things to bring,N,❌ 누락
en,영어,공개수업,공개수업은 4월 23일 3교시에 실시됩니다.,The public auction will take place on April 23 at 3 p.m.,Open house class,N,❌ 누락
zh,중국어,알림장,알림장을 매일 담임교사에게 제출해 주세요.,请每天向校长提交通知书.,联络簿,N,❌ 누락
zh,중국어,담임교사,담임교사에게 결석 사유를 알려 주세요.,让主任教师知道他的结论.,班主任老师,N,❌ 누락
zh,중국어,방과후 신청서,방과후 신청서를 이번 주 금요일까지 내 주세요.,让我在本周星期五提交课后申请.,,N,—  미등록
zh,중국어,수업비,"수업비 40,000원을 다음 주까지 납부해 주세요.",请在下周之前支付4万美元的学费.,学费,Y,✅ 반영
zh,중국어,체험학습,체험학습 신청서를 3일 전에 제출해 주세요.,请在三天前提交实习申请.,校外体험활동,N,❌ 누락
zh,중국어,결석계,결석계를 5일 이내에 담임교사에게 제출합니다.,"在五天内,我们将结算表递给校长.",,N,—  미등록
zh,중국어,준비물,"내일 준비물은 색종이, 풀, 가위입니다.","明天的准备是颜色,草,.",准备物品,N,❌ 누락
zh,중국어,공개수업,공개수업은 4월 23일 3교시에 실시됩니다.,在4月23日下午3点上市.,公开课,N,❌ 누락
th,태국어,알림장,알림장을 매일 담임교사에게 제출해 주세요.,โปรดส่งใบเตือนให้ครูผู้สอนทุกวัน,สมุดจดแจ้งสำหรับผู้ปกครอง,N,❌ 누락
th,태국어,담임교사,담임교사에게 결석 사유를 알려 주세요.,ให้คุณบอกครูผู้รับผิดชอบถึงข้อสรุป,คุณครูประจำชั้น,N,❌ 누락
th,태국어,방과후 신청서,방과후 신청서를 이번 주 금요일까지 내 주세요.,ขอใบสมัครหลังเลิกเรียนถึงวันศุกร์ของสัปดาห์นี้,,N,—  미등록
th,태국어,수업비,"수업비 40,000원을 다음 주까지 납부해 주세요.","โปรดชําระค่าธรรมเนียม 40,000 บาท ภายในสัปดาห์หน้า",ค่าเรียน,N,❌ 누락
th,태국어,체험학습,체험학습 신청서를 3일 전에 제출해 주세요.,โปรดส่งใบสมัครเรียนก่อน 3 วัน,กิจกรรมเรียนรู้นอกห้องเรียน,N,❌ 누락
th,태국어,결석계,결석계를 5일 이내에 담임교사에게 제출합니다.,ผมส่งรายงานให้ครูผู้สอนภายใน 5 วัน,,N,—  미등록
