batch_no,id,source_type,category,easy_korean,original_text,current_vietnamese,review_reason,human_vi,review_status
1,135,초등학교,제출,다음 주 월요일까지 현장체험학습 신청서를 내 주세요,다음 주 월요일 현장체험학습 참가 신청서를 담임선생님께 제출해 주세요,Vui lòng nộp đơn đăng ký tham quan học tập trước thứ Hai tuần sau,"category:제출|terms:체험학습,현장체험학습,신청서|keywords:월,일,까지,신청,체험학습",Vui lòng nộp đơn xin học tập trải nghiệm trước thứ Hai tuần sau.,reviewed
2,26,유치원,비용,간식비 15000원이 매월 10일에 빠져나갑니다,간식비 15000원은 매월 10일 자동이체됩니다,Phí ăn nhẹ 15000 won sẽ được tự động trừ vào ngày 10 hằng tháng,"category:비용|terms:간식,간식비|keywords:월,일|money",15.000 won tiền ăn nhẹ sẽ được rút vào ngày 10 hàng tháng.,reviewed
3,83,초등학교,제출,6월 20일까지 영어 캠프 신청서를 내 주세요,영어 캠프 신청서는 6월 20일까지 제출해 주세요,,"category:제출|terms:신청서|keywords:월,일,까지,신청|empty_vi",Vui lòng nộp đơn đăng ký trại hè tiếng Anh trước ngày 20 tháng 6.,reviewed
4,112,초등학교,제출,4월 26일까지 알레르기 조사서를 앱으로 내 주세요,알레르기 조사서를 4월 26일까지 학교종이 앱으로 제출해 주세요,Vui lòng nộp phiếu khảo sát dị ứng qua ứng dụng trước ngày 26 tháng 4,"category:제출|terms:조사서,알레르기|keywords:월,일,까지,조사서",Vui lòng nộp bản khảo sát dị ứng qua ứng dụng trước ngày 26 tháng 4.,reviewed
5,125,유치원,제출,월요일까지 현장학습 동의서를 내 주세요,현장학습 참가 동의서를 월요일까지 제출해 주세요,,"category:제출|terms:동의서|keywords:월,일,까지,동의서|empty_vi",Vui lòng nộp giấy đồng ý đi thực tế trước thứ Hai.,reviewed
6,142,유치원,제출,3월 15일까지 특성화 활동 신청서를 내 주세요,방과후 특성화 활동 신청서는 3월 15일까지 제출해 주세요,,"category:제출|terms:신청서|keywords:월,일,까지,신청|empty_vi",Vui lòng nộp đơn đăng ký hoạt động đặc biệt trước ngày 15 tháng 3.,reviewed
7,178,유치원,제출,간식 신청 변경은 매월 말일까지 할 수 있습니다,간식 신청 변경은 매월 말일까지 가능합니다,,"category:제출|terms:간식|keywords:월,일,까지,신청|empty_vi",Việc thay đổi đăng ký ăn nhẹ có thể được thực hiện trước ngày cuối cùng của mỗi tháng.,reviewed
8,182,초등학교,제출,4월 5일까지 우유 급식을 신청할 수 있습니다,학교 우유 급식 신청은 4월 5일까지 가능합니다,,"category:제출|terms:급식|keywords:월,일,까지,신청|empty_vi",Bạn có thể đăng ký cấp phát sữa trước ngày 5 tháng 4.,reviewed
9,43,초등학교,제출,이번 주 안에 응급처치 동의서를 내 주세요,응급처치 동의서를 아직 제출하지 않은 가정은 이번 주 안에 제출해 주세요,,"category:제출|terms:동의서,응급처치|keywords:동의서,응급처치|empty_vi",Vui lòng nộp giấy đồng ý sơ cứu trong tuần này.,reviewed
10,44,초등학교,제출,내일까지 학생 기초조사서를 내 주세요,학생 기초조사서를 내일까지 담임선생님께 제출해 주세요,,"category:제출|terms:조사서|keywords:일,까지,조사서|empty_vi",Vui lòng nộp bản khảo sát cơ bản của học sinh trước ngày mai.,reviewed
11,88,초등학교,제출,다음 주 화요일까지 졸업앨범 신청서를 내 주세요,졸업앨범 구입 신청서를 다음 주 화요일까지 제출해 주세요,,"category:제출|terms:신청서|keywords:일,까지,신청|empty_vi",Vui lòng nộp đơn đăng ký kỷ yếu tốt nghiệp trước thứ Ba tuần sau.,reviewed
