eval_id,text_ko,eval_focus,matched_terms,target_lang,nllb_translation,nllb_time_sec,small100_translation,small100_time_sec,winner,note
SCHOOL-KO-001,2026학년도 6학년 1학기 1일형 현장체험학습 참가 신청서 원하는 곳에 표하여 4월 20일(월)까지 담임선생님께 제출 바랍니다(기한 엄수).,domain_term;schedule;submission;money,현장체험학습;체험학습;신청서;기한;제출;학년,vi,,,"Năm 2026, xin nộp đơn xin tham gia vào kỳ thi trường học đầu tiên của năm 2026, xin gửi cho giáo viên chuyên môn đến ngày 20 tháng 4 (Điều dài hạn).",1.791,,
SCHOOL-KO-002,"교육 관련문의: 강서양천교육지원청 과학교육센터 ( 02-2662-0492, 내선824) 2022 진로 연계 AI-메이커 교실 신청서 학년 반 이름 희망 기수 보호자 동행 등하교 가능 여부(교내 주차 불가) 보호자 연락처(휴대폰) 개인정보 활용동의 6학년 ( )반 1순위 기 O / X O / X 2순위 기 3순위 기",submission;money;attendance;guardian_privacy;schedule,보호자 연락처;보호자;신청서;연락처;문의;하교;학년,vi,,,"Các vấn đề liên quan đến giáo dục: Trung tâm Giáo dục Đại học ( 02-2662-0492, nội tuyến 824) 2022 Liên hệ thực tế AI-Maker lớp học ứng dụng năm học nửa tên hy vọng người bảo hộ hộ tống v.v. Có thể (bãi đỗ xe công cộng) Liên hệ bảo vệ ( điện thoại di động) Trường học 6 ( )Trường 1 hạng O / X O / X 2 hạng 3 hạng",4.308,,
SCHOOL-KO-003,"참가 희망 시작성학생 연락처보호자 연락처개인정보제공동의수집항목: 신청서 기재 사항 수집목적: 2026학년도 기초학력 공유학교 참가 아동 관리보유기간: 신청일로부터 2026학년도 기초학력 공유학교 교육활동 종료일까지 동의함(신청서 제출 시, 동의함으로 간주함) 2026. 3.",schedule;submission;guardian_privacy;money,보호자 연락처;보호자;신청서;연락처;제출;학년;학생,vi,,,"Đề nghị bắt đầu học sinh liên hệ bảo vệ thông tin cá nhânĐề xuất Thông tin thu thập mục tiêu: Năm 2026Năm học cơ bảnĐề xuất Học việnCông việc chăm sóc trẻ emThời gian: từ ngày nộp đơn vào năm 2026năm đến khi kết thúc hoạt động giáo dục của trường học cơ bản (trong khi nộp đơn xin, được coi là đồng ý) 2026.3.",4.865,,
SCHOOL-KO-004,"2020학년도 경기도용인교육지원청 관내 영재교육대상자 3월 선발에 관한 사항을 아래와 같이 안내하오니, 선발에 응시하고자 하는 학생들은 아래의 희망신청서를 6월 10일(수요일) 까지 각 학급 담임교사에게 제출하여 주시기 바랍니다.",domain_term;schedule;submission;money,담임교사;수요일;신청서;대상;제출;학급;학년;학생,vi,,,"Trong năm 2020, chúng tôi sẽ hướng dẫn các thông tin liên quan đến việc bầu cử các đối tượng giáo dục sinh viên trong năm học 2020, xin vui lòng gửi đơn xin hy vọng dưới đây cho mỗi giáo viên phụ trách lớp vào ngày 10 tháng 6 (tháng thứ Tư).",2.739,,
SCHOOL-KO-005,"강좌: 이야기한국사 / 모집대상: 1-3학년 / 요일: 수 / 학기 중 시간: A 13:30~15:10 / 방학 중 시간: A 09:00~10:40 / 장소: 본관4층 교과2실 / 11차시 수강료 81,950원 / 교재비 12,000원 / 재료비 24,000원",schedule;money,교재;기한;대상;방학;시간;장소;학년,vi,,,"Lời bài hát: Mùa hè, ngày sinh nhật, ngày sinh học, ngày sinh, ngày sinh và ngày sinh, giờ sinh nhật, lúc sinh nhật, thời sinh nhật, giờ sinh học, giờ sinh hoạt, giờ sinh viên, ngày sinh sống, ngày sinh sinh nhật, tháng sinh nhật, năm sinh nhật, đêm sinh nhật, tuần sinh nhật, buổi sinh nhật, mùa sinh nhật, lễ sinh nhật, sinh nhật, Ngày sinh nhật, Tết sinh nhật, Xuân sinh nhật, Sinh nhật sinh nhật, Sáng sinh sinh nhật.",4.971,,
SCHOOL-KO-006,"2026년 월 일보호자 : (인)서울송파초등학교 귀하 학교장 확인사항(아래는 학교에서 기록함.) 종 목전( )학년 수업일수 결석일수(질병,무단) 출석인정결석 출석인정조퇴 출석인정결과 ( )일 ( )일 ( )일 ( )시간 ( )시간 전( )학기 최저학력기준 미도달 과목 국( ),영( ),수( ),사( ),과( ) 제출자료",schedule;submission;attendance;guardian_privacy;money,출석인정;보호자;결석;시간;제출;조퇴;학년,vi,,,"Chương trình giảng dạy năm 2026: Giáo dục sinh học sinh sinh học sinh học sinh, giáo dục sinh học học sinh sinh sinh học trẻ em sinh học sinh lớp học sinh học tập sinh học sinh khoa học học sinh học kỳ sinh học sinh trường học sinh học (Hiện pháp sinh học sinh), giáo dục sinh viên học sinh học môn học sinh học tuổi sinh học sinh và học sinh học phụ nữ sinh học sinh ở trường học sinh (Hiểu học sinh học) học sinh học trưởng học sinh học trong trường học học sinh sống học sinh học học học sinh (Tháng học sinh học người học sinh) Học sinh học sinh làm việc học sinh học tại trường học sinh của trường học sinh.",7.340,,
SCHOOL-KO-007,e알리미로 4월 15일(수)까지 동의 관련 서명을 해 주시거나 학생이 등교시 담임선생님께 동의서를 제출해 주시면 됩니다.,domain_term;schedule;submission;attendance;money,e알리미;동의서;등교;서명;제출;학생,vi,,,Bạn có thể ký vào ngày 15 tháng 4 hoặc bạn có thể gửi thông báo cho giáo viên.,1.045,,
SCHOOL-KO-008,"본교에서는 전교생을 대상으로 무상 우유급식을 실시하고 있습니다.하지만 개인의 건강상의 문제(찬우유 배앓이, 알레르기, 소화장애, 아토피질환) 등으로 우유급식이 곤란할 경우 미급식 신청서를 받고자 합니다.우유미급식 신청서는 3월 5일(목)16:00까지 e-알리미로 제출하여 주시기 바랍니다.",domain_term;schedule;submission;health_safety;money,알레르기;신청서;급식;대상;제출,vi,,,"Trong trường đại học, chúng tôi đang thực hiện một bữa ăn sữa miễn phí dành cho sinh viên cũ, nhưng nếu bạn gặp vấn đề sức khỏe của cá nhân (cơn khát sữa, dị ứng, rối loạn tiêu hóa, bệnh tĩnh mạch), bạn muốn nhận được đơn xin ăn sữa sớm.Vui lòng gửi đơn xin sữa sớm qua email từ ngày 5 tháng 3 đến 16:00.",4.242,,
SCHOOL-KO-009,"강좌: 행복수학 / 모집대상: 1-6학년 / 요일: 월 / 학기 중 시간: B 14:20~16:00 / 방학 중 시간: B 10:50~12:30 / 장소: 본관4층 교과1실 / 11차시 수강료 81,950원 / 교재비 39,000원 / 학년 과정에 알맞은 1:1 수준별 맞춤 지도",schedule;money,교재;대상;방학;시간;장소;학년,vi,,,Khóa học: Hạnh phúc toán học / tuyển dụng mục tiêu: 1-6 lớp / ngày: tháng / giờ học kỳ: B 14:20 ~ 16:00 / giờ nghỉ phép: B 10:50 ~ 12:30 / Địa điểm: trụ sở 4 tầng lớp 1 phòng / 11 học phí 81.950 / chi phí giảng dạy 39.000 / Bản đồ tùy chỉnh cấp độ 1:1 phù hợp với khóa học học năm học,4.151,,
SCHOOL-KO-010,"강좌: 창의과학실험 / 모집대상: 1-2학년(정원15명) / 요일: 목 / 학기 중 시간: A 13:30~15:10 / 방학 중 시간: A 09:00~10:40 / 장소: 본관2층 해누리터 / 12차시 수강료 89,400원 / 교재비 48,000원",schedule;money,교재;대상;방학;시간;장소;학년,vi,,,"Bài học: Thử nghiệm khoa học sáng tạo / tuyển dụng mục tiêu: 1-2 lớp (15 người trong vườn) / Ngày: cổ / Thời gian học kỳ A 13:30 ~ 15:10 / Thời gian kỳ nghỉ: A 09:00 ~ 10:40 / Địa điểm: trụ sở 2 tầng hàn / 12 học phí 89,400 USD / Phí học phí 48,000 USD",3.671,,
